,sector,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Basic Materials,29.071536363636366,0.1393625,0.35563750137125,0.01720000066666667,0.06367999909090907,-0.10031181768181817,-0.13769727263636364,-0.05975090618181818,-0.07083749887499999,41.98842857142857,125.9642086,5.582699957142856,0.34377111044444447,26.643600000000003,0.4495288888888889,3.0,120.25
2,Communication Services,35.75669583333334,0.059673913043478265,0.04634444432166665,0.041050002,0.5541529180000001,-0.08464333212500001,0.048469167875,-0.012093043439130431,-0.06014199659999999,110.79819047619046,33.47503255714286,2.418427472222222,0.11797374795416665,-10.327541666666667,0.5537512495875,6.529411764705882,57.287058823529414
3,Consumer Cyclical,27.970115384615383,0.06710571457142857,0.07536129159645161,0.020557142571428575,0.24966076856410263,-10.439967744397435,0.023291794717948715,0.0178487499375,-0.03918999874999999,122.98409375000003,123.62417276874997,12.046964378636362,0.2835639482368421,16.028552631578947,0.4048902635789473,5.923076923076923,45.88961538461538
4,Consumer Defensive,45.688235294117646,0.219924996625,0.03865624994999999,0.018337500125000003,0.38497999470588234,-0.1886570593411765,0.025084706294117652,0.029814117158823532,0.056301765764705886,58.62835294117647,166.26924101666665,2.567302755333333,0.21931117322352936,224.11924999999997,0.6001523499999999,6.0,62.4725
5,Energy,4.13,0.0,0.104499996,0.0,-0.13106,-0.32748002,-0.44237,-0.16289,-3.94053,0.0,0.0,0.0,0.56604,-9.253,0.26716998,2.0,8.0
6,Financial Services,19.811663392857138,0.21157567981081082,0.022920000080000003,0.028483333233333335,0.05108544589285714,-6183.79027508741,0.21396848075892855,-0.00335820772564103,0.023894871871794874,370.22790909090924,14.706090251612908,252.17952626714282,0.07800836512499999,9.55488888888889,0.4722049040288464,3.7916666666666665,43.31208333333334
7,Healthcare,38.36497177419352,0.0026106194690265487,0.07853958311041667,0.0082,0.27253258366935473,-126.70326224539512,-0.17466177468548388,-0.2830544756819047,-0.25302827182755133,30.81527522935779,218.01080833333327,8.421300549295774,0.1747537822957983,6.279198198198198,0.5412725220672266,5.787878787878788,70.65464646464648
8,Industrials,41.281774193548394,1.0200551727586207,0.032382142493928574,0.032057143,0.306935163548387,-93.72066774151614,-0.08860580695806454,-0.08077322303225805,-1.0524339866,76.05235714285713,77.09274527777777,5.199770482068964,0.16110533691000006,16.5244,0.6136529943000001,5.714285714285714,54.438095238095244
9,Real Estate,33.64028181818181,0.8386166833333334,0.013749999933333335,0.07687999989999998,0.7228390963636364,0.3274263654545454,-0.1528427302727273,0.02197909118181818,0.002535453272727271,131.31081818181818,19.43272692,2.68497037586875,0.07177454445454547,35.62960000000001,0.35892909272727275,3.142857142857143,39.151428571428575
10,Technology,56.871756603773576,0.056556863921568626,0.06634347844565218,0.018572726999999997,0.41930321103773566,-0.5251096041886792,-0.051013585471698104,-0.027414490794897967,-0.3144937976000001,52.33223999999999,85.99745045652173,6.041800179743589,0.1604635848622642,-205.07850943396227,0.5178837795094339,6.777777777777778,67.12111111111112
11,Utilities,23.81,0.313,0.0397,0.039449999,0.22046749999999998,0.10950750249999999,0.0912975025,-0.0343525,-24.8153675,102.207,11.79508125,6.628344745000001,0.03157666666666667,10.1975,0.5533700133333334,5.5,44.555
