,sector,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,1.3067,0.0,0.0,0.0,0.2047725025,-0.3533325,-0.3921775,0.0,0.0,111.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Basic Materials,13.878,0.1916857222857143,0.01446,0.0168,0.22547571141428574,-0.03652285257142857,-0.04276142971428571,-0.156431428,-0.24654833249999997,77.69966666666667,0.0,18.409155516666665,0.12322143505714285,28.12657142857143,0.48510428157142854,5.6,19.442
2,Communication Services,61.09779166666666,0.05299999818181819,0.03848999971999999,0.0245799992,0.5162629079166667,-8.370921243770832,26.21750791566667,-0.0724450007,-0.43448689,190.5584444444444,36.00634848333333,9.609350203846155,0.21889958291666667,31.886583333333338,0.4917429233500001,9.722222222222221,82.37111111111109
3,Consumer Cyclical,99.4693222222222,0.2891923076923077,0.06557272703181817,0.043149999999999994,0.3180677821481481,-457.56310777774075,-0.1253255544851852,-0.014466924269230767,-0.2983659967199999,364.77920833333343,39.50180683333333,17.52977088315789,0.20138222004814813,18.28707407407407,0.556273707774074,8.631578947368421,174.88947368421054
4,Consumer Defensive,25.157528571428575,0.09281428571428571,0.03988181893636364,0.02284999985,0.36959999721428577,-0.5697250005,0.051203572142857146,-0.043116154076923076,-0.10983078461538462,32.14515384615385,20.3536819,3.552591577499999,0.2556461593846154,1.6297857142857153,0.38451155461569236,7.625,38.45
5,Energy,31.138333333333332,0.24912,0.023966666716666665,0.015266666666666666,0.3906866633333334,-0.516896667,0.20625499983333337,-0.13749834966666669,0.734682002,40.82775,35.803135,5.06701192,0.1869399993333333,-550.4604,0.5969833383333333,4.0,36.709999999999994
6,Financial Services,27.994566942148744,0.19428928535714288,0.016695522464029854,0.04037826071086957,0.13923123958677686,-0.09942710651239671,0.17231628385289255,0.021445397012698403,0.11606412863492065,198.2103333333333,16.417195382692306,78.59465905696723,0.1080706899060345,8.55022222222222,0.42413319016379303,4.5,49.17840909090909
7,Healthcare,25.47726171875,0.002124793388429752,0.05476542079626168,0.0530499975,0.12877608851562503,-40.44618155764845,-0.302245001390625,-0.24543654227570094,-0.9962500069904761,40.00107547169814,210.03801765833336,8.078658152976189,0.15243063883120003,-2.277049999999998,0.4882754411095999,5.211538461538462,62.628269230769234
8,Industrials,62.45778421052632,0.16304999444444446,0.034138888444444446,0.013766666933333333,0.2979999986842105,0.04176842042105263,0.013859470263157902,0.02655722266666667,0.013352777888888891,113.27161111111111,38.14822414285714,3.8522622566666667,0.1354963167894737,4.484105263157894,0.6610268447368421,4.666666666666667,82.786
9,Real Estate,17.208333333333332,0.05207142857142857,0.01175714268142857,0.061342857142857136,0.7599608383333334,0.41157583166666667,0.2643225166666667,0.04529250005,0.029831662499999995,151.14416666666668,37.78893262857144,2.6260841955555554,0.34385499599999997,77.29471428571428,0.20474000039,5.333333333333333,11.493333333333334
10,Technology,90.83925540540538,0.2300892302153846,0.05146093732031248,0.029864999800000007,0.556294324054054,-1.3827886741891893,-0.14134567547297303,-0.03632318767826086,-0.11084181516363638,60.34778260869566,251.0808345517241,10.080555270701751,0.12794652705833326,-15.989873239436612,0.5893133305694447,9.472727272727273,118.73127272727274
11,Utilities,54.786,0.8396399999999999,0.031379999799999996,0.02195,0.486496,0.13652400199999998,0.07385000280000001,0.02453000025,0.06005000125,103.506,30.70230533333334,6.639376374999999,0.30557799998,55.64880000000001,0.5215620000000001,4.6,61.958000000000006
