,sector,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,3.3181499999999997,0.0,0.0,0.11359999,0.7496,0.12065000514999999,-0.06031998499999999,0.08573500001,0.22582000000000002,152.4315,0.0,0.10835,34.002,0.0,0.0,0.0
1,Basic Materials,14.59,0.0,0.0618,0.0,0.17995999899999998,-0.06639499699,-0.1173975035,-0.008209999999999999,-0.19564999225000004,129.13625,2.747661435,0.28014750800000005,70.01375,0.44007749500000004,5.5,24.97
2,Communication Services,453.13071428571436,0.0182,0.04420909081818181,0.0119,0.49983858000000003,0.055093573500000007,0.03480143000000001,0.0593471435,0.1666942864285714,56.82646153846153,3.179672059016667,0.19514357035714286,18.394714285714286,0.5277400042857143,9.363636363636363,591.3136363636363
3,Consumer Cyclical,35.506603999999996,0.11805000500000001,0.08197618976190477,0.029614285571428572,0.33218200239999995,0.032809600040000005,0.007260399759999998,0.031332799060000006,0.09802919896,124.61771999999999,3.3359253380952376,0.10480320060160003,43.265280000000004,0.6436964056,6.35,51.242
4,Consumer Defensive,65.946875,0.0,0.08502500125,0.0,0.34458875,0.065322500125,0.04377999975,0.050393750125,0.00318500012499999,72.21375,10.715825657142858,0.161813748875,66.269875,0.78208750875,7.714285714285714,82.97285714285715
5,Energy,8.74,0.0,0.027659999999999997,0.0722,0.571162,0.108832,0.14243599780000002,-0.00011600006000000145,-0.041684000799999996,41.0504,1.03132933,0.281744,41.42479999999999,0.47564999399999996,7.666666666666667,12.81
6,Financial,25.77,0.2814,0.0323,0.0216,0.0,0.58193,0.4406,0.01909,0.124110006,0.0,1.6088152,0.08342,0.0,0.68328005,6.0,27.33
7,Financial Services,31.962857142857143,0.21450181730909093,0.019161817780000003,0.03078750004999999,0.08602555587301589,0.3306787317460317,0.24481634942698421,0.014571587425396828,0.09231111136349208,77.43041666666669,1.8419994193055558,0.17210790315951613,13.858111111111109,0.4774158102258064,4.365853658536586,33.806829268292695
8,Healthcare,25.632647368421054,0.047048649459459455,0.05805999984666667,0.04563333333333333,0.3017626336842105,-0.04123921199999999,-0.0879413169736842,-0.08028710618342105,-0.19144973443894733,50.891656250000004,3.3772206611111106,0.1241002622552632,2.3897297297297304,0.552826845263158,5.545454545454546,44.539090909090916
9,Industrials,34.26760000000001,0.17089129869565217,0.0191479998356,0.025922221988888886,0.25163520080000007,0.03953679932,-0.0025183999999999944,0.025621599780000004,0.07182079956,110.41284000000002,3.0017837282608695,0.17223759900000002,9.59824,0.5802780019999999,3.8181818181818183,40.62681818181819
10,Real Estate,32.87392727272727,6.4726000033333335,0.057840001200000005,0.06401666416666667,0.43316454436363644,0.12792545539090908,0.027833638272727276,-0.002428181816363636,-0.020151819454545458,130.78709090909092,5.125188575,0.19886666644444442,-15.748999999999999,0.318872214,7.25,50.545
11,Technology,53.576333333333345,0.13985714285714287,0.041772221638888885,0.033420000000000005,0.3822095252380952,0.023276668619047612,-0.010787142095238103,0.04254761933333334,0.09479952066666666,64.59819999999999,8.66101968263158,0.12916142803333333,77.50535000000004,0.5708485719047618,9.642857142857142,74.61642857142856
12,Utilities,18.87,2.426,0.0045,0.0154,0.81529,0.15944,0.07266,0.0143,0.09283,371.402,13.936485,0.52974,32.744,0.33946,0.0,0.0
