,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,9.409966666666666,0.0,0.0,0.0,0.37117,0.10598666666666666,0.00043333333333333185,-0.0078699999,-0.23860665766666667,209.472,0.0,0.32305655,0.0,12.474,0.0,0.0,0.0
1,Advertising Agencies,1.46,0.0,0.003,0.0,0.64672,-0.52929,0.110690005,-0.01613,0.00851,1.627,0.0,0.0,0.72452,-19.716,0.00113,0.0,0.0
2,Aerospace & Defense,92.29666666666667,0.0,0.040766666666666666,0.0,0.3821733233333333,-0.055266666666666665,-0.063973332,-0.022586666666666668,-0.07923333333333332,38.279,72.27163,5.6512939,0.037630000000000004,-55.91633333333334,0.7961566566666667,5.666666666666667,118.50999999999999
3,Airlines,184.94,0.0,0.0319,0.0,0.19479999,0.02091,0.07705,0.00545,0.11805,142.911,0.0,4.268076,0.15392,23.628,0.87514,13.0,269.62
4,Airports & Air Services,39.873333333333335,0.0,0.165999995,0.0,0.3535466733333334,0.14601333333333333,0.15275000000000002,0.060206666666666665,0.15588333000000001,99.882,5.5665226,1.0416528,0.13223,14.139666666666669,0.95856005,7.0,105.57
5,Asset Management,17.8,0.0,0.0231,0.0,0.47256002,0.06082,0.0005,0.028010001,0.00115,172.207,2224.9998,2.4950938,0.02101,15.195,0.96266,3.0,24.0
6,Banks—Regional,31.125999999999994,0.18269473736842104,0.012205263172105263,0.029200000357142857,0.0,0.389940999,0.27953549675,0.01078749999,0.10031749944999999,0.0,26.840094138888887,1.2518095366666666,0.15394789578947368,0.0,0.4519231563157896,3.923076923076923,37.57076923076923
7,Biotechnology,21.465102857142856,0.0,0.09324827555172414,0.0,0.14308428742857143,-0.012136570000000001,-0.05185171291428572,-0.19528142920000002,-0.3526454302885714,8.388571428571428,736.0157866666667,3.5255892674999996,0.08442114287717141,-7.520129032258064,0.5918891465714285,6.354838709677419,96.90548387096774
8,Broadcasting,23.3,0.0,0.1866,0.0,0.376765,0.17332999999999998,0.0431300002,0.05085,0.13719499999999998,216.7355,8.311469,1.5201536199999999,0.18953499,8.865,0.67983,12.0,51.8
9,Building Products & Equipment,42.876666666666665,1.8452333333333335,0.058399999,0.0108999999,0.28440666333333336,0.17145333333333335,0.17385333333333333,0.09786666666666667,0.25605,52.871,69.572319,6.3859430999999995,0.14378000333333332,15.990333333333332,0.5772366666666666,3.0,56.25
10,Capital Markets,69.72,0.0,0.028499998,0.0,0.027609998,0.02023,0.020969998,0.09873,0.68648005,158.775,8.369748,4.375824,0.26223,7.341,0.42691,2.0,63.0
