,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,23.89,0.0,0.0,0.0,0.75247,0.63167,-0.00104,0.03453,0.029690001,147.418,0.0,0.0,0.0,15.893,0.81248003,0.0,0.0
1,Advertising Agencies,1.8050000000000002,0.0,0.0188,0.0,0.11535,-0.047754994999999995,0.011355001999999996,-0.10126500000000002,-0.06070500499999999,20.2425,0.0,2.139219,0.27785501,5.6115,0.01047,0.0,0.0
2,Aerospace & Defense,12.625,0.0,0.063100003,0.0,0.60173,0.079679995,0.12524499,0.021634999499999998,0.059724994999999996,1.0175,16.773546,2.305785,0.44559001499999995,-156.91250000000002,0.170205,1.5,20.875
3,Agricultural Inputs,15.81,0.0,0.0041,0.0,0.46297002,0.20089,-0.03043,0.06746,-0.02999,235.101,0.0,10.038095,0.82435,17.098,0.02464,4.0,20.21
4,Aluminum,14.26,0.0,0.09,0.0,-0.01602,-0.043270003,-0.15325,-0.032390002,-0.52752,110.61,0.0,3.1465137,0.43978,213.933,0.59645003,2.0,17.0
5,Apparel Manufacturing,104.99,0.1058,0.021,0.010299999,0.4977,0.09997,0.06397,0.05766,0.09182999,23.441,42.626877,3.728338,0.4337,19.89,0.43775,12.0,124.52
6,Asset Management,59.3,0.1374,0.082600005,0.0196,0.53661996,0.48806998,0.3391,0.14679,0.80556,177.724,11.717052,6.072708,0.38531,6.501,0.39935002,12.0,58.38
7,Auto & Truck Dealerships,113.78,0.0,0.053200003,0.0,0.28726,0.14647001,0.10863,0.11541,0.29268,79.356,7.6107025,1.8546047,0.08783,7.079,0.75685,4.0,165.75
8,Auto Parts,3.87,0.0,0.0128,0.0,0.13222,-0.0102699995,-0.00368,-0.00457,-0.020569999,15.704,0.0,0.3922562,0.63797003,6.727,0.04304,1.0,6.0
9,Banks—Regional,35.08065384615384,0.21883750250000003,0.021144898112244893,0.025515384712820516,0.0,0.3786553853846154,0.2562376925,0.010278846255769232,0.09959288488461539,0.0,16.092452029545456,1.4652154872916663,0.18615530673469385,0.0,0.44220020336734694,3.5,37.80500000000001
10,Beverages—Non-Alcoholic,227.41333333333333,0.27420002,0.044,0.01625,0.3864499866666667,0.07151,0.04892999933333333,0.048769998333333335,0.19028667666666665,93.68633333333334,255.09887366666666,22.158194666666663,0.46482332333333337,455.79600000000005,0.42108665666666667,8.0,81.56
11,Biotechnology,21.34069130434783,0.0,0.0719952381904762,0.0,0.23498565173913044,-0.05754174091304348,-0.05311869260869565,-0.13274000063913044,-0.26291304313913044,40.53519047619047,30.654851333333337,5.910419223157895,0.06861565196521738,14.880181818181818,0.6751599913043478,6.545454545454546,33.777727272727276
12,Broadcasting,12.94,0.0,0.0067000003,0.0,0.58836,0.044260003,-0.05049,0.01401,-0.111940004,261.601,0.0,0.7028407,0.05177,11.861,0.76835,3.0,21.67
13,Building Products & Equipment,55.44,0.0,0.0313,0.0,0.26463,0.07126,-0.00685,0.047280002,0.10283,96.167,0.0,2.2299092,0.00659,9.417,1.04511,13.0,65.73
14,Capital Markets,17.05,0.08479999666666665,0.09960000499999999,0.00905,0.7103800100000001,0.14591666533333333,-0.06278667,0.04379666666666667,0.04357334000000001,170.1483333333333,13.12430075,1.652606,0.12625333333333333,28.704,0.57885001,5.0,57.4
15,Communication Equipment,15.763999999999996,0.0,0.0329099999,0.0149,0.378457007,0.03874700080000001,-0.009175999800000001,0.032362999999999996,0.030353000500000015,161.9214,41.522786,5.491988020000001,0.1652799977,31.2511,0.49542600400000003,4.75,25.615
16,Computer Hardware,16.715,0.0,0.1907,0.0,0.2272949875,-0.188095,-0.16655001,0.031625,0.041264999999999996,1.641,0.0,2.5322235,0.052059997,9.5435,0.39563,5.0,33.2
17,Conglomerates,4.89,0.0,0.0,0.0,0.28280002,-0.0107,0.13074,-0.00169,0.11006,112.009,1.6979165,0.007167776,0.0,10.957,0.12546,0.0,0.0
18,Consulting Services,103.45,0.2715,0.027999999,0.012,0.27168,0.07818,0.053979997,0.04729,0.14001,90.121,28.696255,3.7338483,0.0369,14.406,0.94511,2.0,110.0
19,Credit Services,646.43,0.0,0.2485,0.0,0.97122,0.69995004,0.53398997,0.09446,0.32606998,199.004,16.153076,4.6373305,0.30003,0.0,0.75181997,6.0,395.67
20,Diagnostics & Research,11.0390375,0.0,0.0611874995,0.0,0.354096246375,-0.11981375437500001,-0.14736000175,-0.05445125375000001,-0.22080750375000002,53.27542857142858,5.980263,3.283045383333333,0.11186999975124999,-141.59074999999999,0.36028500125,2.625,25.604999999999997
21,Discount Stores,529.37,0.2644,0.0119,0.0069999998,0.12885,0.03424,0.02555,0.073020004,0.27616,56.051,54.133347,14.971293,0.00217,23.759,0.69317,29.0,445.65
22,Drug Manufacturers—General,256.79,0.0,0.0135,0.0,0.83949995,0.24025999,0.16397,0.07029,0.22143999,68.063,13.311389,3.620279,0.00676,14.745,0.8631,27.0,417.7
23,Drug Manufacturers—Specialty & Generic,8.203333333333335,0.0,0.05623333333333334,0.0,0.8146200266666667,0.11469666666666667,0.17205666665666666,0.04626666533333334,0.2504566733333334,64.01633333333334,13.2753935,2.393019033333333,0.15899000033333335,65.24533333333333,0.6673300033333334,7.0,16.82
24,Education & Training Services,2.27,0.0,0.0306,0.0,0.57058,0.28601998,0.24063,0.0915,0.14371,0.974,0.0,0.0,0.27849,16.753,0.02039,0.0,0.0
25,Electrical Equipment & Parts,2.04,0.0,0.0355,0.0,0.12958,-0.09674,0.67867,-0.01757,0.47937,2.748,5.930232,1.8361837,0.39683998,-136.007,0.05763,1.0,2.0
26,Electronic Components,10.4621,0.10456666333333332,0.02239999985,0.019450000000000002,0.23163,0.032830000166666665,0.031273333333333334,0.023586667333333335,0.08305,44.08266666666666,73.62990533333333,3.781251343333333,0.187753333,31.677666666666667,0.3878599999999999,2.0,24.0
27,Electronic Gaming & Multimedia,24.754666666666665,0.0,0.024500001,0.0,0.3824366666666667,-0.009359998999999994,-0.06513666,-0.006909999666666667,-0.13715333666666665,15.430000000000001,2.1290321,1.86695245,0.3341,-55.58633333333333,0.217400002,30.0,110.15
28,Electronics & Computer Distribution,46.57,0.0,0.0301,0.0,0.16149001,0.02645,0.020299999,0.044439998,0.08168,1.946,23.882051,1.8826051,0.58037996,14.364,0.43338,1.0,53.0
29,Entertainment,369.33,0.17909999,0.0475,0.0168,0.55795,0.188345005,0.0991699975,0.0443500015,0.156140005,262.1695,29.813637,4.391056,0.166755015,11.0945,0.792045,29.5,444.165
30,Farm & Heavy Construction Machinery,49.59,1.0435,0.0155,0.0054,0.34991002,0.07003,0.0066500003,0.02362,0.00808,70.541,130.5,2.2434855,0.02769,21.288,1.00796,8.0,65.0
31,Farm Products,29.785500000000003,0.4857,0.14109999,0.0643000008,0.03522666816666666,-0.003119999999999999,0.008203333333333333,-0.0016900000833333338,0.03125000000000001,44.84233333333333,26.572052,1.7548665,0.02475000000833333,63.425,0.36083165833333325,3.0,39.0
32,Food Distribution,33.2,0.0,0.1489,0.0,0.22589001,-0.040949997,-0.05271,-0.030989999,-0.18132,156.257,0.0,3.8368196,0.13109,-69.972,0.85135,5.0,38.8
33,"Furnishings, Fixtures & Appliances",18.01,0.26139998,0.0481,0.0317,0.56314,0.06044,0.041139998,0.04429,0.124919996,86.189,0.0,1.1321348,0.06655,5.974,0.62731,2.0,34.0
34,Gambling,127.923,0.060399998,0.018,0.0031,0.30281499,0.1372600025,0.120414995,0.04378,0.361324982,315.746,57.45139,23.2224482,0.244515003,18.2315,0.53239,3.0,131.7
